YEAR,QUARTER,MONTH
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
2017,2,6
